id,area,year,context,question,options,correct_answer,bloom_level,difficult_level,relevance,adherence,answerability,correctness,feedback,rouge,bleu,system_answer,steps_answer,model,lang
671_2017,HUMANITIES AND THEIR TECHNOLOGIES,2017,"TEXT I

Solon is the first Greek name that comes to mind when land and debt are mentioned together. Shortly after 600 B.C., he was appointed as a 'lawgiver' in Athens, with unprecedented powers, because the demand for land redistribution and debt cancellation could not continue to be blocked by the landowners' oligarchy through force or small concessions.

FINLEY, M. Economy and society in ancient Greece. São Paulo: WMF Martins Fontes, 2013 (adapted).

TEXT II

The 'Twelve Tables Law' became one of the fundamental texts of Roman law, one of the main Roman legacies that have reached us. The publication of these laws, around 450 B.C., was important, as the knowledge of the 'rules of the game' of life in society is a favorable instrument for the common man and potentially limiting the hegemony and arbitrariness of the powerful.

FUNARI, P. P. Greece and Rome. São Paulo: Contexto, 2011 (adapted).",What was Solon's role in Athens shortly after 600 B.C.?,"[{'A': 'Doctor'}, {'B': 'Lawgiver'}, {'C': 'Philosopher'}, {'D': 'Merchant'}, {'E': 'Tour guide'}]",[{'B': 'Lawgiver'}],Understand,Beginner,5,4,5,0,"The question is highly relevant to the context provided about Solon and his role in Athens. The bloom taxonomy level 'Understand' and difficulty level 'Beginner' are appropriate based on the information given. The question is clear and provides enough information for the test-taker to arrive at the correct answer. However, the correctness score is 0 as the correct option is not specified in the question stem.","Score(precision=0.5, recall=0.03896103896103896, fmeasure=0.07228915662650602)",5.695132590867978e-161,{B: Lawgiver},"Solon was appointed as a 'lawgiver' in Athens shortly after 600 B.C., with unprecedented powers to address the demand for land redistribution and debt cancellation.",gpt-3.5-turbo,EN
671_2017,HUMANITIES AND THEIR TECHNOLOGIES,2017,"TEXT I

Solon is the first Greek name that comes to mind when land and debt are mentioned together. Shortly after 600 BC, he was appointed 'lawgiver' in Athens, with unprecedented powers, because the demand for land redistribution and debt cancellation could not continue to be blocked by the landowners' oligarchy through force or small concessions.

FINLEY, M. Economy and society in ancient Greece. São Paulo: WMF Martins Fontes, 2013 (adapted).

TEXT II

The 'Twelve Tables Law' became one of the fundamental texts of Roman law, one of the main Roman legacies that have reached us. The publication of these laws, around 450 BC, was important, as the knowledge of the 'rules of the game' of life in society is a favorable instrument for the common man and potentially limiting the hegemony and arbitrariness of the powerful.

FUNARI, P. P. Greece and Rome. São Paulo: Contexto, 2011 (adapted).",Why was Solon appointed as 'lawgiver' in Athens?,"[{'A': 'For being a great warrior'}, {'B': 'For his negotiation skills'}, {'C': 'For his demand for land redistribution and debt cancellation'}, {'D': 'For being a relative of the king'}, {'E': 'For his accumulated wealth'}]",[{'C': 'For his demand for land redistribution and debt cancellation'}],Apply,Intermediate,5,4,5,0,"The question is highly relevant to the context provided about Solon and the historical background. The bloom taxonomy level and difficulty seem appropriate for the information given. The question is clear and provides enough information for the test-taker to arrive at an answer. However, the correctness score is 0 as the correct option is not specified in the question stem.","Score(precision=0.625, recall=0.03333333333333333, fmeasure=0.06329113924050632)",2.1429379118358028e-162,{C: For his demand for land redistribution and debt cancellation},"Solon was appointed as 'lawgiver' in Athens because of the demand for land redistribution and debt cancellation, which could not be blocked by the landowners' oligarchy.",gpt-3.5-turbo,EN
671_2017,HUMANITIES AND THEIR TECHNOLOGIES,2017,"TEXT I

Solon is the first Greek name that comes to mind when land and debt are mentioned together. Shortly after 600 BC, he was designated as a 'lawgiver' in Athens, with unprecedented powers, because the demand for land redistribution and debt cancellation could not continue to be blocked by the landowners' oligarchy through force or small concessions.

FINLEY, M. Economy and society in ancient Greece. São Paulo: WMF Martins Fontes, 2013 (adapted).

TEXT II

The 'Twelve Tables Law' became one of the fundamental texts of Roman law, one of the main Roman legacies that have reached us. The publication of these laws, around 450 BC, was important, as the knowledge of the 'rules of the game' of life in society is a favorable instrument for the common man and potentially limiting the hegemony and arbitrariness of the powerful.

FUNARI, P. P. Greece and Rome. São Paulo: Contexto, 2011 (adapted).",What is the importance of the 'Twelve Tables Law' for Roman law?,"[{'A': 'Establish the monarchy in Rome'}, {'B': 'Limit the powers of the senators'}, {'C': 'Define the rules of the game of life in society'}, {'D': 'Create a permanent army'}, {'E': 'Institute slavery as a legal practice'}]",[{'C': 'Define the rules of the game of life in society'}],Analyzing,Advanced,5,4,5,0,"The question is highly relevant to the context provided about the 'Twelve Tables Law' in Roman law. The bloom taxonomy level and difficulty level seem appropriate for the given information. The question is clear and provides enough information for the test-taker to arrive at an answer. However, the correctness score is 0 as the correct option is not specified in the question stem.","Score(precision=0.6666666666666666, recall=0.05263157894736842, fmeasure=0.09756097560975609)",5.0278430053165705e-83,{C: Define the rules of the game of life in society},"The importance of the 'Twelve Tables Law' for Roman law was to define the rules of the game of life in society, providing a framework for common man and limiting the hegemony of the powerful. This is evident from the historical context and significance of the law.",gpt-3.5-turbo,EN
1570_2023,MATHEMATICS AND ITS TECHNOLOGIES,2023,"In January of last year, the management of a factory opened a daycare center for the children of its employees, with 10 rooms, each with the capacity to serve 10 children each year. The spots are drawn among the enrolled employees' children, while those not selected in the draw form a waiting list. Last year, the waiting list had 400 names, and this year, this number increased by 10 percent.
The factory's management conducted a survey and found that the waiting list for the next year will have the same number of names as this year's waiting list. They decided, then, to build new daycare center rooms throughout this year, also with the capacity to serve 10 children each, so that the number of names on the waiting list next year will be 25 percent less than this year's.",How many rooms does the factory's daycare center currently have?,"[{'A': '5 rooms'}, {'B': '10 rooms'}, {'C': '15 rooms'}, {'D': '20 rooms'}, {'E': '25 rooms'}]",[{'B': '10 rooms'}],Remember,Beginner,5,4,5,1,"The question is highly relevant to the context provided, testing the understanding of the scenario described. The bloom taxonomy level and difficulty level are appropriate as it requires recalling information and basic calculations. Sufficient information is given to arrive at the correct answer. The correct answer is 'B: 10 rooms', which aligns with the information provided in the scenario.","Score(precision=0.5454545454545454, recall=0.04225352112676056, fmeasure=0.0784313725490196)",1.8090695881921718e-160,{B: 10 rooms},"The factory's daycare center currently has 10 rooms, as mentioned in the information provided.",gpt-3.5-turbo,EN
1570_2023,MATHEMATICS AND ITS TECHNOLOGIES,2023,"In January of last year, the management of a factory opened a daycare center for the children of its employees, with 10 rooms, each with the capacity to serve 10 children each year. The spots are drawn among the children of the registered employees, while those not selected in the draw form a waiting list. Last year, the waiting list had 400 names and, this year, this number increased by 10 percent.
The factory management conducted a survey and found that the waiting list for the next year will have the same number of names as the waiting list for this year. It then decided to build new rooms for the daycare center throughout this year, also with a capacity to serve 10 children each, so that the number of names on the waiting list next year is 25 percent less than this year.",What is the capacity of each room in the daycare center?,"[{'A': '5 children'}, {'B': '10 children'}, {'C': '15 children'}, {'D': '20 children'}, {'E': '25 children'}]",[{'B': '10 children'}],Understand,Beginner,5,4,5,1,"The question is highly relevant to the context provided about a daycare center's capacity and waiting list. The bloom taxonomy level 'Understand' and difficulty level 'Beginner' are appropriate for the given question. Sufficient information is given to arrive at the correct answer. The correct answer is 'B: 10 children', which aligns with the information provided in the question.","Score(precision=0.6363636363636364, recall=0.04861111111111111, fmeasure=0.09032258064516129)",5.719548611160506e-160,{B: 10 children},The capacity of each room in the daycare center is given as 10 children per room.,gpt-3.5-turbo,EN
1570_2023,MATHEMATICS AND ITS TECHNOLOGIES,2023,"In January of last year, the management of a factory opened a daycare center for the children of its employees, with 10 rooms, each with the capacity to serve 10 children each year. The spots are drawn among the enrolled employees' children, while those not selected in the draw are placed on a waiting list. Last year, the waiting list had 400 names and, this year, this number increased by 10 percent.
The factory's management conducted a survey and found that the waiting list for the next year will have the same number of names as this year's waiting list. They decided, then, to build new daycare center rooms throughout this year, also with the capacity to serve 10 children each, so that the number of names on the waiting list next year is 25 percent less than this year's.",How many names were on the daycare center's waiting list last year?,"[{'A': '200 names'}, {'B': '300 names'}, {'C': '400 names'}, {'D': '500 names'}, {'E': '600 names'}]",[{'C': '400 names'}],Apply,Intermediate,5,4,5,1,"The question is highly relevant to the context provided, testing the understanding of the waiting list concept in a daycare center scenario. The bloom taxonomy level and difficulty are appropriate as it requires the application of mathematical concepts to solve the problem. Sufficient information is given to arrive at the correct answer. The correctness score is 1 as the correct answer is accurately provided as one of the options.","Score(precision=0.5384615384615384, recall=0.04895104895104895, fmeasure=0.08974358974358974)",1.984203759622305e-159,{C: 400 names},"Last year, the waiting list had 400 names as mentioned in the information provided.",gpt-3.5-turbo,EN
1570_2023,MATHEMATICS AND ITS TECHNOLOGIES,2023,"In January of last year, the management of a factory opened a daycare center for the children of its employees, with 10 rooms, each with the capacity to serve 10 children each year. The spots are drawn among the children of registered employees, while those not selected in the draw form a waiting list. Last year, the waiting list had 400 names and, this year, this number increased by 10 percent.
The factory management conducted a survey and found that the waiting list for the next year will have the same number of names as the waiting list for this year. They decided, then, to build new daycare center rooms throughout this year, also with the capacity to serve 10 children each, so that the number of names on the waiting list next year is 25 percent less than this year.",What is the percentage growth of the number of names on the waiting list this year compared to last year?,"[{'A': '5%'}, {'B': '10%'}, {'C': '15%'}, {'D': '20%'}, {'E': '25%'}]",[{'B': '10%'}],Analyze,Intermediate,5,4,5,1,The question is highly relevant to the context provided about the daycare center and waiting list. The bloom taxonomy level 'Analyze' is appropriate as it requires students to calculate the percentage growth. The question provides enough information for the students to arrive at the answer. The correctness score is 1 as the correct answer is indeed 10%.,"Score(precision=0.65, recall=0.09219858156028368, fmeasure=0.16149068322981364)",0.000956576631508622,{E: 25%},"To calculate the percentage growth of the waiting list, we first find the initial number of names on the waiting list last year, which is 400. Then we find the number of names on the waiting list this year, which is 400 + 10% of 400 = 440. The percentage growth is (440 - 400) / 400 * 100% = 40 / 400 * 100% = 10%. Therefore, the correct answer is E: 25%.",gpt-3.5-turbo,EN
1570_2023,MATHEMATICS AND ITS TECHNOLOGIES,2023,"In January of last year, the management of a factory opened a daycare center for the children of its employees, with 10 rooms, each with the capacity to serve 10 children each year. The spots are drawn among the children of the registered employees, while those not selected in the draw form a waiting list. Last year, the waiting list had 400 names and, this year, this number increased by 10 percent.
The factory management conducted a survey and found that the waiting list for the next year will have the same number of names as the waiting list for this year. They decided, then, to build new rooms for the daycare center throughout this year, also with the capacity to serve 10 children each, so that the number of names on the waiting list next year is 25 percent less than this year.",How many new rooms did the factory management decide to build for the daycare center?,"[{'A': '2 rooms'}, {'B': '3 rooms'}, {'C': '4 rooms'}, {'D': '5 rooms'}, {'E': '6 rooms'}]",[{'C': '4 rooms'}],Evaluate,Advanced,5,4,5,1,The question is highly relevant to the context provided about the factory management and the daycare center. The bloom taxonomy level seems appropriate as it requires evaluation and critical thinking to solve the problem. Sufficient information is given to arrive at the correct answer. The correctness score is 1 as the correct answer can be determined based on the information provided.,"Score(precision=0.7333333333333333, recall=0.0763888888888889, fmeasure=0.13836477987421383)",8.271902423996918e-82,{C: 4 rooms},"Let x be the number of children on the waiting list this year. The waiting list increased by 10%, so 1.1x = 400. Solving for x, we get x = 363. Next year, the waiting list will have the same number of names, so the waiting list will be 363. To have 25% fewer names next year, the waiting list should have 75% of 363, which is 272.25. Each room serves 10 children, so the factory needs to accommodate 91.75 more children. Since each new room serves 10 children, the factory needs to build 4 new rooms (91.75/10 = 9.175, rounded up to the nearest whole number).",gpt-3.5-turbo,EN
1430_2023,"LANGUAGES, CODES AND THEIR TECHNOLOGIES",2023,"## Ponciá Vicêncio
Conceição Evaristo
Someone had recently cut the grass, which during the rainy season grew and surrounded Ponciá Vicêncio and Luandi's mother's house. There were also traces that the land had been turned over, as if someone was going to plant a small field there. Luandi smiled. His mother must be quite strong, as she was still working the land. He sang loudly a song he had learned from his father when they worked on the white men's land. It was a song that the older black people taught the younger ones. They said it was a song of return, which the men, back in Africa, always sang when they were returning from fishing, hunting, or somewhere else. Luandi's father, on the day he wanted to please his wife, used to sing that song as he approached home. Luandi didn't understand the words of the song; he knew, however, that it was a language that some black people still spoke, especially the elders. It was a cheerful song. Luandi, besides singing, followed the rhythm by clapping his hands on an imaginary drum. He was returning to the land. He was coming home. He arrived singing, dancing the sweet and victorious return song. []",What is the main theme addressed in the provided excerpt?,"[{'A': 'The relationship between Luandi and his mother'}, {'B': 'The importance of music in African culture'}, {'C': 'The work routine in the field'}, {'D': 'The influence of colonization on the characters' lives'}, {'E': 'The longing for the homeland'}]",[{'B': 'The importance of music in African culture'}],Understand,Intermediate,5,4,5,0,"The question is highly relevant to the context provided, focusing on the main theme of the excerpt. The bloom taxonomy level 'Understand' seems appropriate as it requires understanding the underlying theme. The question is clear and provides enough information for the test-taker to arrive at an answer. However, the correctness score is 0 as the correct option is not specified in the question.","Score(precision=0.3, recall=0.014218009478672985, fmeasure=0.027149321266968326)",4.581906685130277e-240,{E: The longing for the homeland},"The main theme addressed in the provided excerpt is the longing for the homeland, as indicated by Luandi singing a song of return that symbolizes coming back home and the connection to their African roots.",gpt-3.5-turbo,EN
1430_2023,"LANGUAGES, CODES AND THEIR TECHNOLOGIES",2023,"## Ponciá Vicêncio
Conceição Evaristo
Someone had recently cut the grass, which during the rainy season grew and surrounded Ponciá Vicêncio and Luandi's mother's house. There were also traces that the land had been turned over, as if someone was going to plant a small crop there. Luandi smiled. His mother must be quite strong, as she was still working the land. He sang loudly a song he had learned from his father when they worked on the white men's land. It was a song that the older black people taught the younger ones. They said it was a returning song, which the men in Africa always sang when they were returning from fishing, hunting, or somewhere else. Luandi's father, on the day he wanted to please his wife, used to sing that song as he approached home. Luandi did not understand the words of the song; however, he knew it was a language that some black people still spoke, especially the elders. It was a joyful song. Luandi, besides singing, followed the rhythm by clapping his hands on an imaginary drum. He was returning to the land. He was coming back home. He arrived singing, dancing the sweet and victorious returning song. []",Why was Luandi singing the song he learned from his father?,"[{'A': 'To show his musical ability'}, {'B': 'To please his mother'}, {'C': 'To remember the white men's land'}, {'D': 'To celebrate his arrival home'}, {'E': 'To teach the song to the younger ones'}]",[{'D': 'To celebrate his arrival home'}],Apply,Beginner,5,4,5,1,The question is highly relevant to the context provided about Luandi singing a song he learned from his father. The bloom taxonomy level and difficulty seem appropriate for the given information. Sufficient details are given in the stem to answer the question. The correct option 'D: To celebrate his arrival home' aligns with the context provided.,"Score(precision=0.8181818181818182, recall=0.0430622009569378, fmeasure=0.08181818181818182)",1.1563412755882991e-85,{D: To celebrate his arrival home},"Luandi was singing the song he learned from his father to celebrate his arrival home, as the song was a returning song that the men in Africa always sang when they were returning from fishing, hunting, or somewhere else.",gpt-3.5-turbo,EN
