id,year,context,question,options,correct_answer,CE,DS,EK,IC,MR,TC,image,IU,ledor,figures,description,area,cor,system_answer
11,2013,"
In the states, however, the oligarchies were being established, 
of which Saint-Hilaire had already warned us about the danger, 
under the disguise of what was called 'the governors' policy'. 
In concentric circles, this system culminates in the 
central power itself, which is the sun of our system.

PRADO, P. Portrait of Brazil. Rio de Janeiro: José Olympio, 1972.
","
The criticism present in the text refers to the agreement that 
founded the Brazilian republican regime during the first three 
decades of the 20th century and strengthened the","{'A': '  military power, as guarantor of the economic order. \n', 'B': '  presidentialism, with the objective of limiting the power \nof the colonels.\n\n', 'C': '  dominance of regional groups over the federative order.\n', 'D': '  intervention in the states, authorized by the \n\nconstitutional norms. \n\n', 'E': ' isonomy of the federal government in dealing with \n\nlocal disputes.\n\n'}",{'C': '  dominance of regional groups over the federative order.\n'},No,No,No,No,No,Yes,No,,,,,HUMANITIES AND THEIR TECHNOLOGIES,BLUE,
12,2013,"
At the end of the 19th century, the Great Carnival Societies 
reached wide popularity among the carioca revelers. Such societies cultivated a pretentious 
objective regarding the carnival celebration itself: with their parades of decorated cars through the 
main streets of the city, they intended to abolish the 'entrudo' (a game consisting of throwing water at revelers) and other practices spread among the population since colonial times, replacing them with forms of entertainment they considered more civilized, 
inspired by the carnivals of Venice. However, no one seemed willing 
to give up their amusements to attend the societies' carnival. The 'entrudo,' in the view of its lively practitioners, could perfectly coexist with the parades.","
Cultural manifestations such as carnival also have their own history, being constantly reinvented over time. The actions of the Great Societies, 
described in the text, show that the carnival represented a moment when","{'A': 'social distinctions were set aside in the name of celebration.', 'B': 'cosmopolitan aspirations of the elite prevented the party from taking place outside the clubs.', 'C': 'individual freedoms were extinguished by the rules of public authorities.', 'D': 'popular traditions became a matter of social disputes.', 'E': 'police persecutions had a xenophobic character for repudiating foreign traditions.'}",{'D': 'popular traditions became a matter of social disputes.'},No,No,No,No,No,Yes,No,,,,,HUMANITIES AND THEIR TECHNOLOGIES,BLUE,
13,2013,"
PEDERNEIRAS, R. Revista da Semana, year 35, no. 40, 15 Sept. 1934. In: LEMOS, R. (Org.). 
A history of Brazil through cartoons (1840-2001). 
Rio de Janeiro: Bom Texto; Letras e Expressões, 2001.
","
In the image, from the 1930s, there is a critique of the achievement 
of a right by women, related to
","{'A': '  redistribution of domestic work.\n', 'B': '  freedom of sexual orientation.\n', 'C': '  guarantee of wage parity.\n', 'D': '  approval of the right to divorce.\n', 'E': '  obtaining electoral participation.\n'}",{'E': '  obtaining electoral participation.\n'},No,No,Yes,Yes,No,No,Yes,,,,,HUMANITIES AND THEIR TECHNOLOGIES,BLUE,
14,2013,"
So, crossing the backcountry paths is more 
exhausting than crossing a naked steppe. In the latter, at least, 
the traveler has the relief of a wide horizon and the 
perspective of open plains. Whereas the former 
drowns him; shortens his gaze; assaults and dazzles him; 
entangles him in the thorny web and does not attract him; repels him 
with stinging leaves, with thorns, with lance-like twigs 
stuck in the ground, and unfolds before him leagues and 
leagues, unchanging in its desolate aspect; leafless tree, 
with twisted and dry branches, tangled, 
pointing sharply in space or stretching flexuously 
along the ground, resembling an immense flailing, of torture, of the 
dying flora...

CUNHA, E. Os sertões. Available at: http://pt.scribd.com. Accessed on: 2 Jun. 2012.

","
The landscape elements described in the text 
correspond to biogeographical aspects present in the 
","{'A': '  composition of xerophytic vegetation.\n', 'B': '  formation of broadleaf forests.\n', 'C': '  transition to large forest.\n', 'D': '  adaptation to high salinity.\n', 'E': '  homogenization of evergreen cover.\n\n'}",{'A': '  composition of xerophytic vegetation.\n'},No,No,Yes,No,No,Yes,No,,,,,HUMANITIES AND THEIR TECHNOLOGIES,BLUE,
15,2013,"
In the social production that men carry out, they 
enter into certain relations that are indispensable 
and independent of their will; such production relations 
correspond to a defined stage of development 
of their material forces of production. The totality 
of these relations constitutes the economic structure 
of society - the real foundation, upon which the 
political and legal superstructures are built, and to which 
certain forms of social consciousness correspond.

MARX, K. Preface to the Critique of Political Economy. In: MARX, K.; ENGELS, F. 
Texts 3. São Paulo: Social Editions, 1977 (adapted).
","
For the author, the relationship between economy and politics 
established in the capitalist system causes
","{'A': '  the proletariat to be contemplated by the process of \n\nsurplus value.\n\n', 'B': '  labor to constitute the real foundation of \n\nmaterial production.\n\n', 'C': '  the consolidation of productive forces to be compatible \n\nwith human progress.\n\n', 'D': '  the autonomy of civil society to be proportional to \n\neconomic development.\n\n', 'E': '  the bourgeoisie to revolutionize the social process of \n\nformation of class consciousness.\n\n'}",{'B': '  labor to constitute the real foundation of \n\nmaterial production.\n\n'},No,No,No,No,No,Yes,No,,,,,HUMANITIES AND THEIR TECHNOLOGIES,BLUE,
16,2013,"
A flexible worker controls the workplace, but does not acquire greater control over the process itself. At this point, several studies suggest that work supervision is often higher for those absent from the office than for those present. The work is physically decentralized and power over the worker, more direct.

SENNETT, R. The corrosion of character: personal consequences of the new capitalism. Rio de Janeiro: Record, 1999 (adapted).
","
Compared to the work organization characteristic of Taylorism and Fordism, the conception of time analyzed in the text presupposes that
","{'A': 'information technologies are used to democratize labor relations.', 'B': 'bureaucratic structures are transferred from the company to the domestic space.', 'C': 'outsourcing procedures are improved by professional qualification.', 'D': 'labor organizations are strengthened with the valorization of functional specialization.', 'E': 'control mechanisms are shifted from processes to work results.'}",{'E': 'control mechanisms are shifted from processes to work results.'},No,No,No,No,No,Yes,No,,,,,HUMANITIES AND THEIR TECHNOLOGIES,BLUE,
17,2013,"
Model 1


Model 2

Available at: http://ensino.univates.br. Accessed on: May 11, 2013 (adapted). 
","
In the image, two production models are represented. The possibility of overproduction crisis is distinct between them due to the following factor:
","{'A': '  Origin of raw material.\n', 'B': '  Labor force qualification.\n', 'C': '  Processing speed.\n', 'D': '  Need for storage.\n', 'E': '  Consumer market scope.\n\n'}",{'D': '  Need for storage.\n'},No,No,No,Yes,No,No,Yes,,,,,HUMANITIES AND THEIR TECHNOLOGIES,BLUE,
18,2013,"
The Africa has also served as a starting point for very successful but very vulgar comedies, such as Coming to America and Ace Ventura: When Nature Calls; in both, Africa seems like a place full of crazy tribes and cartoonish rituals. Disney's The Lion King, the most successful American film set in Africa, did not feature a cast of human beings.
LEIBOWITZ, E. Hollywood movies about Africa fall into cliché. Available at: http://notícias.uol.com.br. Access on: Apr 17, 2010.
","
The film production mentioned in the text contributes to the formation of a memory about Africa and its inhabitants. This memory emphasizes and neglects, respectively, the following aspects of the African continent:
","{'A': '  History and nature.\n', 'B': '  Exoticism and cultures.\n', 'C': '  Society and economy.\n', 'D': '  Trade and environment.\n', 'E': '  Diversity and politics.\n\n\n\n'}",{'B': '  Exoticism and cultures.\n'},No,No,No,No,No,Yes,No,,,,,HUMANITIES AND THEIR TECHNOLOGIES,BLUE,
19,2013,Disneyland,Japanese multinationals install companies in Hong Kong and produce with Brazilian raw material to compete in the American market. American batteries power English appliances in New Guinea. Arab gasoline fuels American cars in South Africa. Iraqi children fleeing from war do not obtain visas at the American consulate in Egypt to enter Disneyland.,"In the song, the coexistence in the current international context is highlighted of the following situations:","{'A': ' Tightening of customs control and encouragement of speculative capital.', 'B': ' Expansion of economic exchanges and selectivity of population flows.', 'C': ' Intensification of informational control and adoption of phytosanitary barriers.', 'D': ' Increase in mercantile circulation and deregulation of the financial system.', 'E': ' Expansion of commercial protectionism and mischaracterization of national identities.'}",No,No,No,No,No,Yes,No,,,,,HUMANITIES AND THEIR TECHNOLOGIES,{'B': ' Expansion of economic exchanges and selectivity of population flows.'},
20,2013,"
FORTUNE. Correio da Manhã, year 65, no. 22 264, Nov 2, 1965.
","
The image was published in the newspaper Correio da Manhã, on the 
Day of the Dead in 1965. Its relation to the existing political rights 
in the period reveals the
","{'A': '  extinction of small parties.\n', 'B': '  resumption of state parties.\n', 'C': '  adoption of regulated bipartisanship.\n', 'D': '  overcoming traditional favoritism.\n', 'E': '  valorization of parliamentary representation.\n\n'}",{'C': '  adoption of regulated bipartisanship.\n'},No,No,Yes,Yes,No,No,Yes,,,,,HUMANITIES AND THEIR TECHNOLOGIES,BLUE,
21,2013,"
A giant in the internet industry, in a symbolic gesture, changed the treatment it gave to its Palestinian page. The search site changed its page when accessed from the West Bank. Instead of 'Palestinian territories', the company now writes 'Palestine' right below the logo.

BERCITO, D. Google changes treatment of Palestinian territories. Folha de S. Paulo, May 4, 2013 (adapted).
","
The symbolic gesture signaled by the change in the status of the Palestinian territories means
","{'A': '  emergence of a binational country.\n', 'B': '  strengthening of anti-Semitic movements.\n', 'C': '  emptying of Jewish settlements.\n', 'D': '  recognition of a legal authority.\n', 'E': '  establishment of national borders.\n\n'}",{'D': '  recognition of a legal authority.\n'},No,No,No,No,No,Yes,No,,,,,HUMANITIES AND THEIR TECHNOLOGIES,BLUE,
22,2013,"
To prevent abuse, it is necessary to organize things in such a way that power is contained by power. Everything would be lost if the same man or the same body of the main, or the nobles, or the people, exercised these three powers: the power to make laws, the power to execute public resolutions and the power to judge crimes or individual disagreements. Thus, the Legislative, Executive and Judiciary powers are created, acting independently for the realization of freedom, which does not exist if the same person or group exercises the mentioned powers simultaneously. MONTESQUIEU, B. The Spirit of Laws. São Paulo: Abril Cultural, 1979 (adapted).","
The division and independence between powers are necessary conditions for there to be freedom in a State. This can only occur under a political model in which there is","{'A': 'exercise of guardianship over legal and political activities.', 'B': 'consecration of political power by religious authority.', 'C': 'concentration of power in the hands of technical-scientific elites.', 'D': 'establishment of limits on public actors and government institutions.', 'E': 'merging of the functions of legislating, judging, and executing in the hands of an elected ruler.'}",{'D': 'establishment of limits on public actors and government institutions.'},No,No,No,No,No,Yes,No,,,,,HUMANITIES AND THEIR TECHNOLOGIES,BLUE,
23,2013,"
When no one doubts the existence of another world, death is a passage that should be celebrated among relatives and neighbors. The man of the Middle Ages is convinced of not disappearing completely, hoping for the resurrection. For nothing stops and everything continues in eternity. The contemporary loss of religious feeling has made death a terrifying ordeal, a springboard to darkness and the unknown.

DUBY, G. Year 1000 year 2000 on the trail of our fears. São Paulo: Unesp, 1998 (adapted).
","
When comparing the ways in which societies have dealt with death, the author considers that there has been a process of
","{'A': '  commodification of religious beliefs.\n', 'B': '  transformation of social representations.\n', 'C': '  spread of atheism in countries with a Christian majority.\n', 'D': '  narrowing the gap between scientific knowledge and ecclesiastical knowledge.\n\n', 'E': '  maturation of consciousness linked to modern civilization.\n\n\n'}",{'B': '  transformation of social representations.\n'},No,No,No,No,No,Yes,No,,,,,HUMANITIES AND THEIR TECHNOLOGIES,BLUE,
24,2013,"
The building is circular. The prisoners' apartments occupy the circumference. You can call them, if you want, cells. The inspector's apartment occupies the center; you can call it, if you want, the inspector's lodging. The reformed morality; preserved health; revitalized industry; widespread education; relieved public burdens; settled economy, as it should be, on a rock; the Gordian knot of the Law on the Poor not cut, but undone - all by a simple architectural idea!

BENTHAM, J. The Panopticon. Belo Horizonte: Autêntica, 2008.
","
This is the proposal of a system known as the panopticon, a model that shows the power of discipline in contemporary societies, preferably exercised by mechanisms
","{'A': ' religious, which constitute as a divine eye controlling everything.\n\n', 'B': ' ideological, which establish limits through alienation, \n\npreventing the view of the domination suffered.\n\n', 'C': ' repressive, perpetuating domination relationships \n\nbetween men through physical torture.\n\n', 'D': ' subtle, which train bodies in space-time through \n\nthe gaze as a control instrument.\n\n', 'E': ' consensual, which agree on agreements based on \nunderstanding the general benefits of having \none's own actions controlled.\n\n'}","{'D': ' subtle, which train bodies in space-time through \n\nthe gaze as a control instrument.\n\n'}",No,No,Yes,No,No,Yes,No,,,,,HUMANITIES AND THEIR TECHNOLOGIES,BLUE,
25,2013,"Social life without internet?

Available at: http://tv-video-edc.blogspot.com. Access on: May 30, 2010.
","
The cartoon reveals a critique of the media,
especially the internet, because
","{'A': 'questions the integration of people into virtual social networks

', 'B': 'considers social relationships as less important than virtual ones.

', 'C': 'praises man's ambition to be everywhere at the same time.

', 'D': 'accurately describes human societies in the globalized world.

', 'E': 'conceives computer networks as the most effective space for building social relationships.

'}","{'A': 'questions the integration of people into virtual social networks

'}",No,No,No,Yes,No,Yes,Yes,,,,,HUMANITIES AND THEIR TECHNOLOGIES,BLUE,
26,2013,"
During the royalty, and in the early republican years, 
the laws were transmitted orally from one generation to 
another. The absence of written legislation allowed the 
patricians to manipulate justice according to their interests. 
In 451 BC, however, the plebeians managed to elect 
a commission of ten people — the decemvirs — to 
write the laws. Two of them traveled to Athens, in Greece, 
to study Solon's legislation.

COULANGES, F. The ancient city. São Paulo: Martins Fontes, 2000.
","
Overcoming the oral legal tradition in the ancient world, 
described in the text, was related to
","{'A': '  adoption of universal male suffrage.\n', 'B': '  extension of citizenship to free men.\n', 'C': '  affirmation of democratic institutions.\n', 'D': '  implementation of social rights.\n', 'E': '  tripartition of political powers.\n\n'}",{'B': '  extension of citizenship to free men.\n'},No,No,Yes,No,No,Yes,No,,,,,HUMANITIES AND THEIR TECHNOLOGIES,BLUE,
27,2013,"
The happiness is, therefore, the best, the noblest and the most pleasant thing in the world, and these attributes should not be separated as in the existing inscription in Delphi 'of things, the noblest is the most just, and the best is health; but the sweetest is to have what we call'. All these attributes are present in the most excellent activities, and among these the best, we identify as happiness.

ARISTOTLE. Politics. São Paulo: Cia. das Letras, 2010.
","
By recognizing in happiness the gathering of the most excellent attributes, Aristotle identifies it as
","{'A': 'the pursuit of material goods and titles of nobility.\n', 'B': 'spiritual fullness and personal asceticism.\n', 'C': 'the purpose of human actions and behaviors.\n', 'D': 'knowledge of immutable and perfect truths.\n', 'E': 'expression of individual success and public recognition.\n\n'}",{'C': 'the purpose of human actions and behaviors.\n'},No,No,Yes,No,No,No,No,,,,,HUMANITIES AND THEIR TECHNOLOGIES,BLUE,
28,2013,"
 Available at: http://BP.blogspot.com. Accessed on: 24 Aug. 2011.
","
In the image, a cultivation method and the transformations provoked in the geographical space can be seen. The immediate objective of the agricultural technique used is
","{'A': '  control laminar erosion.\n', 'B': '  preserve river springs.\n', 'C': '  reduce chemical contamination.\n', 'D': '  encourage transgenic production.\n', 'E': '  implement intensive mechanization.\n\n'}",{'A': '  control laminar erosion.\n'},No,No,No,Yes,No,No,Yes,,,,,HUMANITIES AND THEIR TECHNOLOGIES,BLUE,
29,2013,"
Twenty servants followed, expensively dressed and mounted on superb horses; after them, the Ambassador of the King of Congo marched magnificently adorned in blue silk to announce to the Senate that the King's arrival was scheduled for the sixteenth day. In response, he received repeated cheers from the people who attended joyfully and amazed by such greatness.
Coronation of the King of Congo in Santo Amaro, Bahia apud DEL PRIORE, M. Festas e utopias no Brasil colonial. In: CATELLI JR., R. Um olhar sobre as festas populares brasileiras. São Paulo: Brasiliense, 1994 (adapted).
","
Originating from colonial times, the Coronation of the King of Congo festival highlights a process of
","{'A': 'social exclusion.\n', 'B': 'religious imposition.\n', 'C': 'political accommodation.\n', 'D': 'symbolic suppression.\n', 'E': 'cultural resignification.\n\n'}",{'E': 'cultural resignification.\n\n'},No,No,Yes,No,No,Yes,No,,,,,HUMANITIES AND THEIR TECHNOLOGIES,BLUE,
30,2013,"
TEXT I

Our fight is for the democratization of land ownership, 
increasingly concentrated in our country. 
About 1% of all landowners control 46% 
of the lands. We exert pressure through the occupation of 
unproductive large estates and properties that do not 
fulfill their social function, as determined by the Constitution 
of 1988. We also occupy farms that have their origin 
in the land grabbing of public lands.

Available at: www.mst.org.br. Access on: Aug 25, 2011 (adapted).

TEXT II

The small rural landowner is like a small 
shop owner: the smaller the business, the harder 
it is to maintain, as it has to be productive and the burdens are 
hard to bear. I am in favor of productive and 
sustainable properties that generate jobs. Supporting a 
productive company that generates jobs is much cheaper and generates 
much more than supporting agrarian reform.
LESSA, C. Available at: www.observadorpolitico.org.br. Access on: Aug 25, 2011 (adapted).
","
In the fragments of the texts, the positions 
in relation to agrarian reform are opposed. This happens because 
the authors associate agrarian reform, respectively, with
","{'A': '  reduction  of urban sprawl  and  criticism  of \n\npeasant smallholdings.\n\n', 'B': '  expansion  of  national  income  and  priority  to \n\nforeign market.\n\n', 'C': '  containment of agricultural mechanization and combat \n\nrural exodus.\n\n', 'D': '  privatization  of  state  companies  and  stimulus \n\nto economic growth.\n\n', 'E': '  correction  of  historical  distortions  and  damage \n\nto agribusiness.\n\n'}",{'E': '  correction  of  historical  distortions  and  damage \n\nto agribusiness.\n\n'},No,No,No,No,No,Yes,No,,,,,HUMANITIES AND THEIR TECHNOLOGIES,BLUE,
31,2013,"
Having faced the beast of the past eye to eye, 
having asked for and received forgiveness and having made corrections, 
let us now turn the page — not to forget it, 
but not to let it forever imprison us. 
Let us move towards a glorious future of a new South African society, where people are valued 
not because of biological irrelevancies or other 
strange attributes, but because they are people of infinite value created in the image of God. 
Desmond Tutu, at the closing of the Truth Commission in South Africa. Available at: 
http://td.camara.leg.br. Accessed on: Dec 17, 2012 (adapted).
","
In the text, the consolidation of democracy in 
South Africa is related to overcoming a legacy
","{'A': 'populist, favoring the cooptation of \n\npolitical dissidents.\n\n', 'B': 'totalitarian, blocking dialogue with \nsocial movements.\n\n', 'C': 'segregationist, preventing the universalization \nof citizenship.\n\n', 'D': 'stagnationist, disseminating social pauperization.\n\n', 'E': 'fundamentalist, engendering religious conflicts.\n\n'}","{'C': 'segregationist, preventing the universalization \nof citizenship.\n\n'}",No,No,No,No,No,Yes,No,,,,,HUMANITIES AND THEIR TECHNOLOGIES,BLUE,
32,2013,"
No one is unaware of the need that all 
farmers have to increase the number of their 
workers. And how did farmers supply the necessary 
arms until recently? Farms were fueled by the acquisition of slaves, without the slightest 
financial aid from the government. Now, if farmers supplied arms at their own expense, and if it is still possible to obtain them, albeit of a different quality, why should they not seek to achieve them in the same way, that is, at their own expense? 

Response from Manuel Felizardo de Sousa e Mello, general director of Public Lands, 
to Senator Vergueiro. In: ALENCASTRO, L. F. (Org.). History of private life in Brazil. 
São Paulo: Cia. das Letras, 1998 (adapted).
","
The fragment of the speech addressed to the parliamentarian of the 
Empire refers to the changes then taking place in the Brazilian countryside, which confronted the State and the agrarian elite around the objective of
","{'A': 'promote public actions for the occupation of inland lands. \n', 'B': 'adopt the salaried regime to protect foreign labor. \n', 'C': 'define a government subsidy policy to promote immigration.\n', 'D': 'regulate the interprovincial traffic of captives for the survival of farms. \n', 'E': 'finance the settlement of peasant families to stimulate subsistence agriculture.\n\n'}",{'C': 'define a government subsidy policy to promote immigration.\n'},No,No,Yes,No,No,Yes,No,,,,,HUMANITIES AND THEIR TECHNOLOGIES,BLUE,
