header,statement,answers
" 
A  abertura  e  a  pavimentação  de  rodovias  em zonas rurais e regiões afastadas dos centros urbanos, por  um lado,  possibilita  melhor  acesso  e  maior integração  entre  as  comunidades,  contribuindo  com  o desenvolvimento  social  e  urbano  de  populações isoladas. Por outro lado, a construção de rodovias pode trazer  impactos  indesejáveis  ao  meio  ambiente,  visto 
que  a  abertura  de  estradas  pode resultar  na fragmentação  de  habitats,  comprometendo  o  fluxo gênico e as interações entre espécies silvestres, além de  prejudicar  o fluxo  natural  de  rios  e  riachos, possibilitar  o 
ingresso  de  espécies  exóticas  em ambientes  naturais  e  aumentar  a  pressão  antrópica sobre os ecossistemas nativos.  

BARBOSA, N. P. U.;  FERNANDES, G. W. A destruição do jardim. Scientific American Brasil. Ano 7, número 80, dez. 2008 (adaptado). 
"," 
Nesse  contexto,  para  conciliar  os  interesses  aparentemente contraditórios  entre  o  progresso  social  e  urbano  e  a conservação do meio ambiente, seria razoável  
",
" 
A eficiência de um processo de conversão de energia é  definida  como  a  razão  entre  a  produção  de  energia  ou trabalho  útil  e  o  total  de  entrada  de  energia  no  processo.  A figura mostra um processo com diversas etapas. Nesse caso, a  eficiência  geral  será  igual  ao  produto  das  eficiências  das etapas individuais.  A  entrada  de  energia  que  não  se transforma  em trabalho  útil  é  perdida  sob formas  não utilizáveis (como resíduos de calor).  

HINRICHS, R. A. Energia e Meio Ambiente. São Paulo: Pioneira Thomson Learning, 2003 (adaptado). 
"," 
Aumentar a eficiência dos processos de conversão de energia implica  economizar  recursos  e  combustíveis.  Das  propostas seguintes, qual resultará em maior aumento da eficiência geral do processo? 
",
" 
Para  que  apresente  condutividade  elétrica adequada  a  muitas  aplicações,  o  cobre  bruto  obtido  por métodos  térmicos  é  purificado eletroliticamente.  Nesse processo, o cobre bruto impuro constitui o ânodo da célula, que está imerso em uma solução de <math xmlns=""http://www.w3.org/1998/Math/MathML""><msub><mtext>CuSO</mtext><mn>4</mn></msub></math>. À medida que o cobre impuro é oxidado no ânodo, íons <math xmlns=""http://www.w3.org/1998/Math/MathML""><msup><mtext>Cu</mtext><mrow><mn>2</mn><mo>+</mo></mrow></msup></math> da solução são  depositados  na  forma  pura  no  cátodo.  Quanto  às impurezas  metálicas,  algumas  são  oxidadas,  passando  à 
solução, enquanto outras simplesmente se desprendem do ânodo  e  se  sedimentam  abaixo  dele.  As  impurezas sedimentadas  são  posteriormente  processadas,  e  sua comercialização gera receita que ajuda a cobrir os custos do processo. A série eletroquímica a seguir lista o cobre e alguns  metais  presentes  como  impurezas  no  cobre  bruto de acordo com suas forças redutoras relativas.  
"," 
Entre  as  impurezas  metálicas  que  constam  na  série apresentada,  as  que  se  sedimentam  abaixo  do  ânodo  de cobre são 
",
" 
A figura seguinte representa um modelo de transmissão da informação  genética  nos  sistemas  biológicos.  No  fim  do processo,  que  inclui  a  replicação,  a  transcrição  e  a tradução, há três formas proteicas diferentes denominadas 
a, b e c.  
"," 
Depreende-se do modelo que 
",
"
O Brasil pode se transformar no primeiro país das Américas  a  entrar  no  seleto  grupo  das  nações  que dispõem de trens-bala. O Ministério dos Transportes prevê o  lançamento  do  edital  de  licitação  internacional  para  a construção da ferrovia de alta velocidade Rio-São Paulo. A viagem ligará os 403 quilômetros entre a Central do Brasil, no Rio, e a Estação da Luz, no centro da capital paulista, em uma hora e 25 minutos.  

Disponível em: http://oglobo.globo.com.  Acesso em: 14 jul. 2009. 
","
Devido  à  alta  velocidade,  um  dos  problemas  a  ser enfrentado na escolha do trajeto que será percorrido pelo trem  é  o  dimensionamento  das  curvas.  Considerando-se que  uma  aceleração lateral  confortável  para  os 
passageiros e segura para o trem seja de 0,1 g, em que g é a aceleração da gravidade (considerada igual a 10 m/s²), e  que  a  velocidade  do  trem  se  mantenha  constante  em todo  o  percurso,  seria  correto  prever  que  as  curvas existentes no trajeto deveriam ter raio de curvatura mínimo de, aproximadamente, 
",
" 
O  manual  de instruções  de  um  aparelho  de  ar-condicionado  apresenta  a  seguinte  tabela,  com  dados técnicos para diversos modelos: 
 
Disponível em: http://www.institucional.brastemp.com.br. Acesso em: 13 jul. 2009 (adaptado). 
","
Considere-se  que  um  auditório  possua  capacidade  para 40 pessoas, cada uma produzindo uma quantidade média de calor, e que praticamente todo o calor que flui para fora do  auditório  o faz  por  meio  dos  aparelhos  de  ar-
condicionado.  Nessa  situação,  entre  as informações listadas,  aquelas  essenciais  para  se  determinar  quantos e/ou quais aparelhos de ar-condicionado são precisos para manter,  com  lotação  máxima,  a  temperatura  interna  do auditório  agradável  e  constante,  bem  como  determinar  a 
espessura  da  fiação  do  circuito  elétrico  para  a  ligação desses aparelhos, são  
",
" 
A  instalação  elétrica  de  uma  casa  envolve  várias etapas, desde a alocação dos dispositivos, instrumentos e aparelhos  elétricos,  até  a  escolha  dos  materiais  que  a compõem,  passando  pelo  dimensionamento  da  potência requerida,  da  fiação  necessária,  dos  eletrodutos*,  entre 
outras.  
 
Para  cada  aparelho  elétrico  existe  um  valor  de potência  associado.  Valores  típicos  de  potências  para alguns  aparelhos  elétricos  são  apresentados  no  quadro seguinte: 
 

*Eletrodutos são condutos por onde passa a fiação de uma instalação elétrica, com a finalidade de protegê-la. 

A  escolha  das lâmpadas  é  essencial  para obtenção de uma boa iluminação. A potência da lâmpada deverá estar de acordo com o tamanho do cômodo a ser 
iluminado.  O  quadro  a  seguir  mostra  a  relação  entre  as áreas dos cômodos (em m²) e as potências das lâmpadas (em  W),  e  foi  utilizado  como  referência  para  o  primeiro pavimento de uma residência. 
 
Obs.:  Para  efeitos  dos  cálculos  das  áreas,  as  paredes  são desconsideradas. 
","
Considerando  a  planta  baixa  fornecida,  com  todos  os aparelhos  em  funcionamento,  a  potência  total,  em  watts, será de
",
" 
O esquema mostra um diagrama de bloco de uma estação geradora de eletricidade abastecida por combustível fóssil. 

HINRICHS, R. A.; KLEINBACH, M. Energia e meio ambiente. São Paulo: Pioneira Thomson Learning, 2003 (adaptado). 
","
Se  fosse  necessário  melhorar  o  rendimento  dessa  usina, que  forneceria  eletricidade  para  abastecer  uma  cidade, qual  das  seguintes  ações  poderia  resultar  em  alguma economia de energia, sem afetar a capacidade de geração da usina? 
",
"
Os  seres  vivos  apresentam  diferentes  ciclos  de vida,  caracterizados  pelas  fases  nas  quais  gametas  são produzidos  e  pelos  processos  reprodutivos  que  resultam na geração de novos indivíduos.  
Disponível em: www.infoescola.com (adaptado). 
","
Considerando-se  um  modelo  simplificado  padrão  para geração  de 
indivíduos  viáveis,  a  alternativa  que corresponde ao observado em seres humanos é: 
",
" Um  medicamento,  após  ser  ingerido,  atinge  a corrente  sanguínea  e  espalha-se  pelo  organismo,  mas, como  suas  moléculas  “não  sabem”  onde  é  que  está  o problema, podem atuar em locais diferentes do local “alvo” 
e desencadear efeitos além daqueles desejados. Não seria perfeito  se  as  moléculas  dos  medicamentos  soubessem exatamente  onde  está  o  problema  e  fossem  apenas  até aquele local exercer sua ação? A técnica conhecida como 
iontoforese,  indolor  e  não  invasiva,  promete  isso.  Como mostram  as  figuras,  essa  nova  técnica  baseia-se  na aplicação  de  uma  corrente  elétrica  de  baixa  intensidade sobre  a  pele  do  paciente,  permitindo  que  fármacos permeiem  membranas  biológicas  e  alcancem  a  corrente sanguínea,  sem  passar  pelo  estômago.  Muitos  pacientes relatam apenas um formigamento no local de aplicação. O objetivo da corrente elétrica é formar poros que permitam a passagem  do  fármaco  de  interesse.  A  corrente  elétrica  é 
distribuída por eletrodos, positivo e negativo, por meio de uma  solução  aplicada  sobre  a  pele.  Se  a  molécula  do medicamento  tiver  carga  elétrica  positiva  ou  negativa,  ao entrar  em  contato  com  o  eletrodo  de  carga  de  mesmo sinal,  ela  será  repelida  e  forçada  a  entrar  na  pele 
(eletrorrepulsão  -  A).  Se  for  neutra,  a  molécula  será forçada  a  entrar  na  pele  juntamente  com  o  fluxo  de solvente  fisiológico  que  se  forma  entre  os  eletrodos (eletrosmose - B). 


GRATIERI, T; GELFUSO, G. M.; LOPES, R. F. V. Medicação do futuro-iontoforese facilita entrada de fármacos no organismo. Ciência Hoje, vol 44, no 259, maio 2009 (adaptado). 
","
De  acordo  com  as  informações  contidas  no  texto  e  nas figuras, o uso da iontoforese 
",
" 
Cerca  de  1%  do  lixo  urbano  é  constituído  por resíduos sólidos contendo elementos tóxicos. Entre esses elementos  estão  metais  pesados  como  o  cádmio,  o chumbo  e  o  mercúrio,  componentes  de  pilhas  e  baterias, 
que são perigosos à saúde humana e ao meio ambiente. Quando  descartadas  em  lixos  comuns,  pilhas  e  baterias vão  para  aterros  sanitários  ou  lixões  a  céu  aberto,  e  o vazamento de seus componentes contamina o solo, os rios 
e o lençol freático, atingindo a flora e a fauna. Por serem bioacumulativos  e  não  biodegradáveis,  esses  metais chegam de forma acumulada aos seres humanos, por meio da  cadeia  alimentar.  A  legislação  vigente  (Resolução 
CONAMA no 257/1999) regulamenta o destino de pilhas e baterias após seu esgotamento energético e determina aos fabricantes  e/ou importadores  a  quantidade  máxima permitida  desses  metais  em  cada  tipo  de  pilha/bateria, porém o problema ainda persiste. 

Disponível em: http://www.mma.gov.br. Acesso em: 11 jul. 2009 (adaptado). 
","
Uma  medida  que  poderia  contribuir  para  acabar definitivamente com o problema da poluição ambiental por metais pesados relatado no texto seria 
",
" 
 
Umidade  relativa  do  ar  é  o  termo  usado  para descrever  a  quantidade  de  vapor  de  água  contido  na atmosfera. Ela é definida pela razão entre o conteúdo real de  umidade  de  uma  parcela  de  ar  e  a  quantidade  de 
umidade que a mesma parcela de ar pode armazenar na mesma  temperatura  e  pressão  quando  está  saturada  de vapor,  isto  é,  com  100%  de  umidade  relativa.  O  gráfico representa a relação entre a umidade relativa do ar e sua 
temperatura ao longo de um período de 24 horas em um determinado local. 
","
Considerando-se  as  informações  do  texto  e  do  gráfico, conclui-se que 
",
" 	 
Os planos de controle e erradicação de doenças em animais  envolvem  ações  de  profilaxia  e  dependem  em grande  medida  da  correta  utilização  e  interpretação  de testes  diagnósticos.  O  quadro  mostra  um  exemplo 
hipotético de aplicação de um teste diagnóstico. 

Manual Técnico do Programa Nacional de Controle e Erradicação da Brucelose e da 
Tuberculose Animal – PNCEBT. Brasília: Ministério da Agricultura, Pecuária e 
Abastecimento, 2006 (adaptado). 
","
Considerando que, no teste diagnóstico, a sensibilidade é a  probabilidade  de  um  animal  infectado  ser  classificado como positivo e a especificidade é a probabilidade de um animal não infectado ter resultado negativo, a interpretação do quadro permite inferir que 
",
" 
O processo de industrialização tem gerado sérios problemas de ordem ambiental, econômica e social, entre os  quais  se  pode  citar  a  chuva  ácida.  Os  ácidos usualmente presentes em maiores proporções na água da chuva  são  o  <math xmlns=""http://www.w3.org/1998/Math/MathML""><msub><mtext>H</mtext><mn>2</mn></msub><msub><mtext>CO</mtext><mn>3</mn></msub></math>, formado  pela  reação  do  <math xmlns=""http://www.w3.org/1998/Math/MathML""><msub><mtext>CO</mtext><mn>2</mn></msub></math> atmosférico  com  a  água,  o  <math xmlns=""http://www.w3.org/1998/Math/MathML""><msub><mtext>HNO</mtext><mn>3</mn></msub></math>,  o  <math xmlns=""http://www.w3.org/1998/Math/MathML""><msub><mtext>HNO</mtext><mn>2</mn></msub></math>,  o  <math xmlns=""http://www.w3.org/1998/Math/MathML""><msub><mtext>H</mtext><mn>2</mn></msub><msub><mtext>SO</mtext><mn>4</mn></msub></math>  e  o <math xmlns=""http://www.w3.org/1998/Math/MathML""><msub><mtext>H</mtext><mn>2</mn></msub><msub><mtext>SO</mtext><mn>3</mn></msub></math>. Esses quatro últimos são formados principalmente 
a partir da reação da água com os óxidos de nitrogênio e de enxofre gerados pela queima de combustíveis fósseis.   
"," 
A formação de chuva mais ou menos ácida depende não só  da  concentração  do  ácido  formado,  como  também  do tipo  de  ácido.  Essa  pode  ser  uma  informação  útil  na elaboração  de  estratégias  para  minimizar  esse  problema ambiental. Se consideradas concentrações idênticas, quais dos  ácidos  citados  no  texto  conferem  maior  acidez  às águas das chuvas? 
",
"
O  ônibus  espacial  Atlantis  foi  lançado  ao  espaço com  cinco  astronautas  a  bordo  e  uma  câmera  nova,  que iria substituir uma outra danificada por um curto-circuito no telescópio Hubble. Depois de entrarem em órbita a 560 km 
de altura, os astronautas se aproximaram do Hubble. Dois astronautas saíram da Atlantis e se dirigiram ao telescópio. Ao  abrir  a  porta  de  acesso,  um  deles  exclamou:  “Esse telescópio tem a massa grande, mas o peso é pequeno.”  
"," 
Considerando o texto e as leis de Kepler, pode-se afirmar que a frase dita pelo astronauta  
",
" 
Os  núcleos  dos  átomos  são  constituídos  de prótons  e  nêutrons,  sendo  ambos  os  principais responsáveis pela sua massa. Nota-se que, na maioria dos 
núcleos, essas partículas não estão presentes na mesma proporção. O gráfico mostra a quantidade de nêutrons (N) em  função  da  quantidade  de  prótons  (Z)  para  os  núcleos estáveis conhecidos. 

KAPLAN, I. Física Nuclear. Rio de Janeiro: Guanabara Dois, 1978 (adaptado). 
","
O antimônio é um elemento químico que possui 50 prótons e possui vários isótopos ― átomos que só se diferem pelo número de nêutrons. De acordo com o gráfico, os isótopos estáveis do antimônio possuem 
",
" 
Uma pesquisadora deseja reflorestar uma área de mata  ciliar  quase  que 
totalmente  desmatada.  Essa formação  vegetal  é  um  tipo  de  floresta  muito  comum  nas margens de rios dos cerrados no Brasil central e, em seu 
clímax,  possui  vegetação  arbórea  perene  e  apresenta dossel fechado, com pouca incidência luminosa no solo e nas  plântulas.  Sabe-se  que  a incidência  de luz,  a disponibilidade  de  nutrientes  e  a  umidade  do  solo  são  os 
principais fatores do meio ambiente físico que influenciam no desenvolvimento da planta. Para testar unicamente os efeitos  da  variação  de  luz,  a  pesquisadora  analisou,  em casas  de  vegetação  com  condições  controladas,  o desenvolvimento  de  plantas  de  10  espécies  nativas  da região desmatada sob quatro condições de luminosidade: uma  sob  sol  pleno  e  as  demais  em  diferentes  níveis  de sombreamento.  Para  cada  tratamento  experimental,  a 
pesquisadora  relatou  se  o  desenvolvimento  da  planta  foi bom,  razoável  ou  ruim,  de  acordo  com  critérios específicos. Os resultados obtidos foram os seguintes: 
"," 
Para o reflorestamento da região desmatada, 
",
" 
É possível, com 1 litro de gasolina, usando todo o calor  produzido  por  sua  combustão  direta,  aquecer  200 litros  de  água  de  20  °C  a  55  °C.  Pode-se  efetuar  esse mesmo  aquecimento  por  um  gerador  de  eletricidade,  que consome 1 litro de gasolina por hora e fornece 110 V a um resistor  de  11  Ω,  imerso  na  água,  durante  um  certo intervalo  de  tempo.  Todo  o  calor  liberado  pelo  resistor  é transferido à água. 
"," 
Considerando  que  o  calor  específico  da  água  é igual a <math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>4</mn><mo>,</mo><mn>19</mn><msup><mtext>Jg</mtext><mrow><mo>-</mo><mn>1</mn></mrow></msup><msup><mtext>&#xB0;C</mtext><mrow><mo>-</mo><mn>1</mn></mrow></msup></math>, aproximadamente qual a quantidade de gasolina consumida para o aquecimento de água obtido pelo  gerador,  quando  comparado  ao  obtido  a  partir  da 
combustão? 
",
"O  progresso  da  tecnologia  introduziu  diversos artefatos geradores de campos eletromagnéticos. Uma das mais empregadas invenções nessa área são os telefones celulares e smartphones. As tecnologias de transmissão de celular  atualmente  em  uso  no  Brasil  contemplam  dois sistemas. O primeiro deles é operado entre as frequências de 800 MHz e 900 MHz e constitui os chamados sistemas TDMA/CDMA. Já a tecnologia GSM, ocupa a frequência de 
1.800 MHz. 
","
Considerando que a intensidade de transmissão e o nível de recepção “celular”  sejam  os  mesmos  para  as tecnologias de transmissão TDMA/CDMA ou GSM, se um 
engenheiro  tiver  de  escolher  entre  as  duas  tecnologias para  obter  a  mesma  cobertura,  levando  em  consideração apenas  o  número  de  antenas  em  uma  região,  ele  deverá escolher: 
",
"
Considere  um  equipamento  capaz  de  emitir radiação  eletromagnética  com  comprimento  de  onda  bem menor  que  a  da  radiação  ultravioleta.  Suponha  que  a radiação emitida por esse equipamento foi apontada para um tipo  específico  de filme fotográfico  e  entre  o equipamento  e  o  filme  foi  posicionado  o  pescoço  de  um indivíduo. Quanto mais exposto à radiação, mais escuro se torna  o filme  após  a revelação.  Após  acionar  o equipamento  e  revelar  o  filme,  evidenciou-se  a  imagem mostrada na figura abaixo.  
"," 
Dentre  os  fenômenos  decorrentes  da  interação  entre  a radiação  e  os  átomos  do  indivíduo  que  permitem  a obtenção desta imagem inclui-se a 
",
" 
Os ratos Peromyscus polionotus encontram-se distribuídos em ampla região na América do Norte. A pelagem de ratos dessa espécie varia do marrom claro até o escuro, sendo que os ratos de uma mesma população têm coloração muito 
semelhante. Em geral, a coloração da pelagem também é muito parecida à cor do solo da região em que se encontram, que também  apresenta  a  mesma  variação  de  cor,  distribuída  ao  longo  de  um gradiente  sul-norte.  Na  figura,  encontram-se representadas sete diferentes populações de P. polionotus. Cada população é representada pela pelagem do rato, por uma amostra de solo e por sua posição geográfica no mapa. 

MULLEN, L. M.; HOEKSTRA, H. E. Natural selection along an environmental gradient: a classic cline in mouse pigmentation. Evolution, 2008.  
","
O mecanismo evolutivo envolvido na associação entre cores de pelagem e de substrato é 
",
"O lixo orgânico de casa – constituído de restos de verduras, frutas, legumes, cascas de ovo, aparas de grama, entre  outros  –,  se  for  depositado  nos  lixões,  pode  contribuir  para  o  aparecimento  de  animais  e  de  odores  indesejáveis. Entretanto,  sua  reciclagem  gera  um  excelente  adubo  orgânico,  que  pode  ser  usado  no  cultivo  de  hortaliças,  frutíferas  e 
plantas ornamentais. A produção do adubo ou composto orgânico se dá por meio da compostagem, um processo simples que requer alguns cuidados especiais. O material que é acumulado diariamente em recipientes próprios deve ser revirado 
com  auxílio  de  ferramentas  adequadas,  semanalmente,  de  forma  a  homogeneizá-lo.  É  preciso  também  umedecê-lo periodicamente. O material de restos de capina pode ser intercalado entre uma camada e outra de lixo da cozinha. Por meio desse método, o adubo orgânico estará pronto em aproximadamente dois a três meses. 
","
Como usar o lixo orgânico em casa? Ciência Hoje, v. 42, jun. 2008 (adaptado). 
Suponha que uma pessoa, desejosa de fazer seu próprio adubo orgânico, tenha seguido o procedimento descrito no texto, exceto no que se refere ao umedecimento periódico do composto. Nessa situação, 
",
