,area,year,context,question,options,correct_answer,bloom_level,difficult_level,relevance,adherence,grammar,answerability,correctness,feedback,rouge,bleu,system_answer,model
10,CIÊNCIAS HUMANAS E SUAS TECNOLOGIAS,2013,"De ponta a ponta, é tudo praia-palma, muito chã e muito formosa. Pelo sertão nos pareceu, vista do mar, muito grande, porque, a estender olhos, não podíamos ver senão terra com arvoredos, que nos parecia muito longa. Nela, até agora, não pudemos saber que haja ouro, nem prata, nem coisa alguma de metal ou ferro; nem lho vimos. Porém a terra em si é de muito bons ares [...]. Porém o melhor fruto que dela se pode tirar me parece que será salvar esta gente.",Qual era o melhor fruto que Pero Vaz de Caminha acreditava que poderia ser tirado da terra descoberta?,"{'A': 'Ouro e prata.', 'B': 'Metais e ferro.', 'C': 'Bons ares e clima agradável.', 'D': 'Salvação da gente.', 'E': 'Desenvolvimento econômico.'}",{'D': 'Salvação da gente.'},Understand,Intermediate,5.0,4,5,5,5,"A questão é altamente relevante, pois está diretamente relacionada ao contexto histórico descrito. Quanto à aderência, a questão está no nível 'Understand' do Bloom e com dificuldade 'Intermediate', o que está adequado. A gramática da questão está correta. A questão fornece informações suficientes para chegar a uma resposta. A opção marcada como correta ('Salvação da gente.') está de acordo com a informação fornecida no enunciado.","Score(precision=0.3333333333333333, recall=0.06666666666666667, fmeasure=0.1111111111111111)",0.0037392851433188036,{'D': 'Salvação da gente.'},gpt-3.5-turbo
11,CIÊNCIAS HUMANAS E SUAS TECNOLOGIAS,2013,"De ponta a ponta, é tudo praia-palma, muito chã e muito formosa. Pelo sertão nos pareceu, vista do mar, muito grande, porque, a estender olhos, não podíamos ver senão terra com arvoredos, que nos parecia muito longa. Nela, até agora, não pudemos saber que haja ouro, nem prata, nem coisa alguma de metal ou ferro; nem lho vimos. Porém a terra em si é de muito bons ares [...]. Porém o melhor fruto que dela se pode tirar me parece que será salvar esta gente.","Por que Pero Vaz de Caminha não pôde identificar a presença de ouro, prata ou metais na terra descoberta?","{'A': 'Por falta de tecnologia adequada.', 'B': 'Por não ter interesse em mineração.', 'C': 'Por não ter encontrado nenhum habitante.', 'D': 'Por não ter visto esses materiais.', 'E': 'Por ter sido enganado por nativos.'}",{'D': 'Por não ter visto esses materiais.'},Apply,Advanced,5.0,4,5,5,5,"A questão é altamente relevante, pois está diretamente relacionada ao contexto apresentado. Quanto à aderência, a questão está no nível 'Apply' do Bloom e é classificada como 'Advanced', o que está adequado. A gramática da questão está correta. A questão fornece informações suficientes para chegar à resposta correta. A opção marcada como correta ('Por não ter visto esses materiais.') está correta de acordo com o contexto apresentado.","Score(precision=0.3181818181818182, recall=0.07777777777777778, fmeasure=0.125)",4.549781448518869e-233,{'D': 'Por não ter visto esses materiais.'},gpt-3.5-turbo
12,CIÊNCIAS HUMANAS E SUAS TECNOLOGIAS,2013,O canto triste dos conquistados: os últimos dias de Tenochtitlán,Qual era a capital do Império Asteca nos últimos dias antes da conquista espanhola?,"{'A': 'Cuzco', 'B': 'Machu Picchu', 'C': 'Tenochtitlán', 'D': 'Tikal', 'E': 'Chichén Itzá'}",{'C': 'Tenochtitlán'},Remember,Beginner,5.0,4,5,5,5,"A questão é altamente relevante, relacionando-se diretamente com o contexto histórico apresentado. Quanto à aderência, o nível de Bloom 'Remember' e a dificuldade 'Beginner' estão adequados para a pergunta proposta. A gramática da questão está correta. A resposta correta é claramente apresentada, permitindo uma resposta direta e precisa. A opção marcada como correta ('Tenochtitlán') está correta de acordo com a pergunta.","Score(precision=0.13333333333333333, recall=0.18181818181818182, fmeasure=0.15384615384615383)",4.829607837557235e-155,{'C': 'Tenochtitlán'},gpt-3.5-turbo
13,CIÊNCIAS HUMANAS E SUAS TECNOLOGIAS,2013,O canto triste dos conquistados: os últimos dias de Tenochtitlán,Quem liderou a conquista espanhola que resultou na queda de Tenochtitlán?,"{'A': 'Hernán Cortés', 'B': 'Francisco Pizarro', 'C': 'Vasco da Gama', 'D': 'Pedro Álvares Cabral', 'E': 'Fernão de Magalhães'}",{'A': 'Hernán Cortés'},Understand,Intermediate,5.0,4,5,5,5,"A questão é altamente relevante, relacionando-se diretamente com o contexto fornecido. O nível de Bloom 'Understand' e a dificuldade 'Intermediate' estão adequados. A gramática da questão está correta e fornece informações suficientes para responder. A opção correta está corretamente identificada como 'Hernán Cortés'.","Score(precision=0.25, recall=0.2727272727272727, fmeasure=0.2608695652173913)",1.0003688322288243e-231,{'A': 'Hernán Cortés'},gpt-3.5-turbo
14,CIÊNCIAS HUMANAS E SUAS TECNOLOGIAS,2013,O canto triste dos conquistados: os últimos dias de Tenochtitlán,Qual era a principal atividade econômica dos Astecas em Tenochtitlán?,"{'A': 'Agricultura', 'B': 'Mineração', 'C': 'Comércio', 'D': 'Pesca', 'E': 'Artesanato'}",{'C': 'Comércio'},Apply,Intermediate,5.0,4,5,5,5,"A questão é altamente relevante, pois está diretamente relacionada ao contexto fornecido sobre os Astecas em Tenochtitlán. Quanto à aderência, o nível de Bloom 'Apply' e a dificuldade 'Intermediate' estão adequados para a pergunta. A gramática da questão está correta. A questão fornece informações suficientes para responder. A opção marcada como correta ('Comércio') está de acordo com a resposta esperada com base no contexto fornecido.","Score(precision=0.25, recall=0.2727272727272727, fmeasure=0.2608695652173913)",1.0244914152188952e-231,{'A': 'Agricultura'},gpt-3.5-turbo
15,CIÊNCIAS HUMANAS E SUAS TECNOLOGIAS,2013,O canto triste dos conquistados: os últimos dias de Tenochtitlán,Qual era o nome do imperador Asteca durante a conquista espanhola de Tenochtitlán?,"{'A': 'Moctezuma II', 'B': 'Atahualpa', 'C': 'Cuauhtémoc', 'D': 'Itzcoatl', 'E': 'Nezahualcóyotl'}",{'A': 'Moctezuma II'},Evaluate,Advanced,5.0,4,5,5,5,"A questão é altamente relevante, relacionada ao contexto histórico da conquista espanhola de Tenochtitlán. O nível de Bloom 'Evaluate' e a dificuldade 'Advanced' estão adequados para a pergunta. A gramática da questão está correta. Fornece informações suficientes para responder. A opção correta está claramente indicada e é precisa.","Score(precision=0.2857142857142857, recall=0.36363636363636365, fmeasure=0.32)",9.594503055152632e-232,{'A': 'Moctezuma II'},gpt-3.5-turbo
16,CIÊNCIAS HUMANAS E SUAS TECNOLOGIAS,2013,O canto triste dos conquistados: os últimos dias de Tenochtitlán,Qual foi o principal motivo que levou à queda de Tenochtitlán para os espanhóis?,"{'A': 'Superioridade militar e tecnológica', 'B': 'Aliança com outros povos indígenas', 'C': 'Falta de recursos naturais', 'D': 'Condições climáticas adversas', 'E': 'Rebelião interna dos Astecas'}",{'A': 'Superioridade militar e tecnológica'},Create,Advanced,5.0,5,5,5,5,"A questão de múltipla escolha é altamente relevante, relacionada ao contexto histórico da queda de Tenochtitlán para os espanhóis. O nível de Bloom 'Create' e a dificuldade 'Advanced' estão adequadamente atribuídos. A gramática da questão está correta, fornecendo informações claras e concisas. A questão é facilmente respondida com base nas opções fornecidas. A opção marcada como correta ('Superioridade militar e tecnológica') está de acordo com o motivo principal da queda de Tenochtitlán, demonstrando correção.","Score(precision=0.26666666666666666, recall=0.36363636363636365, fmeasure=0.30769230769230765)",5.3448396730677054e-155,{'A': 'Superioridade militar e tecnológica'},gpt-3.5-turbo
17,CIÊNCIAS HUMANAS E SUAS TECNOLOGIAS,2013,"As Brigadas Internacionais foram unidades de combatentes formadas por voluntários de 53 nacionalidades dispostos a lutar em defesa da República espanhola. Estima-se que cerca de 60 mil cidadãos de várias partes do mundo – incluindo 40 brasileiros – tenham se incorporado a essas unidades. Apesar de coordenadas pelos comunistas, as Brigadas contaram com membros socialistas, liberais e de outras correntes político-ideológicas.",Qual era o principal objetivo das Brigadas Internacionais durante a Guerra Civil Espanhola?,"{'A': 'Defender a monarquia espanhola.', 'B': 'Lutar em defesa da República espanhola.', 'C': 'Promover o fascismo na Espanha.', 'D': 'Estabelecer um governo comunista na Espanha.', 'E': 'Proteger interesses estrangeiros na região.'}",{'B': 'Lutar em defesa da República espanhola.'},Compreender,Intermediário,5.0,5,5,5,5,"A questão apresentada está altamente relacionada ao contexto fornecido sobre as Brigadas Internacionais durante a Guerra Civil Espanhola, abordando claramente o principal objetivo dessas unidades. O nível de Bloom 'Compreender' e a dificuldade 'Intermediário' estão adequados, considerando a informação apresentada. A questão está gramaticalmente correta, fornece informações suficientes para responder e a opção marcada como correta ('Lutar em defesa da República espanhola.') está de acordo com o contexto fornecido. Excelente qualidade geral da questão de múltipla escolha.","Score(precision=0.3076923076923077, recall=0.05970149253731343, fmeasure=0.09999999999999999)",1.3839567669933715e-156,{'B': 'Lutar em defesa da República espanhola.'},gpt-3.5-turbo
18,CIÊNCIAS HUMANAS E SUAS TECNOLOGIAS,2013,"As Brigadas Internacionais foram unidades de combatentes formadas por voluntários de 53 nacionalidades dispostos a lutar em defesa da República espanhola. Estima-se que cerca de 60 mil cidadãos de várias partes do mundo – incluindo 40 brasileiros – tenham se incorporado a essas unidades. Apesar de coordenadas pelos comunistas, as Brigadas contaram com membros socialistas, liberais e de outras correntes político-ideológicas.",Quantas nacionalidades estavam representadas nas Brigadas Internacionais?,"{'A': '40', 'B': '53', 'C': '60', 'D': '30', 'E': '50'}",{'B': '53'},Lembrar,Iniciante,5.0,4,5,5,5,"A questão é altamente relevante, pois está diretamente relacionada ao contexto fornecido sobre as Brigadas Internacionais. Quanto à aderência, a questão está no nível de Bloom 'Lembrar' e na dificuldade 'Iniciante', o que está de acordo com a informação apresentada. A gramática da questão está correta. A resposta é claramente identificada e fornece informações suficientes para responder à pergunta. A opção correta está de acordo com a informação fornecida no contexto, sendo a resposta '53' a quantidade de nacionalidades representadas nas Brigadas Internacionais.","Score(precision=0.2857142857142857, recall=0.029850746268656716, fmeasure=0.05405405405405406)",5.9459273011833076e-235,{'B': '53'},gpt-3.5-turbo
19,CIÊNCIAS HUMANAS E SUAS TECNOLOGIAS,2013,"As Brigadas Internacionais foram unidades de combatentes formadas por voluntários de 53 nacionalidades dispostos a lutar em defesa da República espanhola. Estima-se que cerca de 60 mil cidadãos de várias partes do mundo – incluindo 40 brasileiros – tenham se incorporado a essas unidades. Apesar de coordenadas pelos comunistas, as Brigadas contaram com membros socialistas, liberais e de outras correntes político-ideológicas.",Quem coordenava as Brigadas Internacionais durante a Guerra Civil Espanhola?,"{'A': 'Socialistas', 'B': 'Liberais', 'C': 'Comunistas', 'D': 'Anarquistas', 'E': 'Nacionalistas'}",{'C': 'Comunistas'},Compreender,Intermediário,5.0,5,5,5,5,"A questão apresentada está altamente relacionada ao contexto fornecido sobre as Brigadas Internacionais durante a Guerra Civil Espanhola, demonstrando claramente a ligação entre o tema e a pergunta. O nível de Bloom 'Compreender' e a dificuldade 'Intermediário' estão adequadamente atribuídos, considerando a informação apresentada. A questão é gramaticalmente correta e fornece informações suficientes para que o respondente possa chegar à resposta correta. Além disso, a opção marcada como correta ('Comunistas') está de acordo com o contexto histórico fornecido. Excelente qualidade geral da questão de múltipla escolha.","Score(precision=0.5, recall=0.07462686567164178, fmeasure=0.12987012987012986)",4.965719998417639e-157,{'C': 'Comunistas'},gpt-3.5-turbo
20,CIÊNCIAS HUMANAS E SUAS TECNOLOGIAS,2013,"De todas as transformações impostas pelo meio técnico-científico-informacional à logística de transportes, interessa-nos mais de perto a intermodalidade. E por uma razão muito simples: o potencial que tal “ferramenta logística” ostenta permite que haja, de fato, um sistema de transportes condizente com a escala geográfica do Brasil.",O que é intermodalidade no contexto da logística de transportes?,"{'A': 'Um sistema de transporte que utiliza apenas um tipo de modal, como caminhões.', 'B': 'A integração de diferentes modais de transporte, como ferrovias, rodovias e hidrovias, visando otimizar a logística.', 'C': 'Um sistema de transporte exclusivo para cargas perigosas.', 'D': 'Um tipo de transporte aéreo de longa distância.', 'E': 'Um método de transporte que não envolve o uso de tecnologia.'}","{'B': 'A integração de diferentes modais de transporte, como ferrovias, rodovias e hidrovias, visando otimizar a logística.'}",Compreender,Intermediário,5.0,5,5,5,5,"A questão de múltipla escolha é altamente relevante, pois está diretamente relacionada ao contexto da logística de transportes apresentado. O nível de Bloom e a dificuldade estão apropriados para a pergunta, que exige compreensão do conceito de intermodalidade. A gramática da questão está correta e clara. A questão fornece informações suficientes para que o respondente possa escolher a opção correta. A opção marcada como correta é de fato a resposta correta, alinhando-se com a definição de intermodalidade apresentada no contexto.","Score(precision=0.6, recall=0.10714285714285714, fmeasure=0.18181818181818182)",1.575804436977033e-156,"{'B': 'A integração de diferentes modais de transporte, como ferrovias, rodovias e hidrovias, visando otimizar a logística.'}",gpt-3.5-turbo
21,CIÊNCIAS HUMANAS E SUAS TECNOLOGIAS,2013,"De todas as transformações impostas pelo meio técnico-científico-informacional à logística de transportes, interessa-nos mais de perto a intermodalidade. E por uma razão muito simples: o potencial que tal “ferramenta logística” ostenta permite que haja, de fato, um sistema de transportes condizente com a escala geográfica do Brasil.",Qual é a principal vantagem da intermodalidade na logística de transportes?,"{'A': 'Redução dos custos de transporte.', 'B': 'Aumento da poluição ambiental.', 'C': 'Diminuição da eficiência logística.', 'D': 'Aumento do tempo de entrega.', 'E': 'Restrição da capacidade de carga.'}",{'A': 'Redução dos custos de transporte.'},Aplicar,Avançado,5.0,5,5,5,5,"A questão de múltipla escolha é altamente relevante, pois está diretamente relacionada ao contexto de logística de transportes e intermodalidade. O nível de Bloom 'Aplicar' e a dificuldade 'Avançado' estão adequadamente atribuídos, considerando a complexidade da pergunta. A gramática da questão está correta e fornece informações claras para responder. A resposta correta está de acordo com a pergunta e as opções de resposta apresentadas. Excelente qualidade geral da questão de múltipla escolha.","Score(precision=0.5454545454545454, recall=0.10714285714285714, fmeasure=0.1791044776119403)",2.2976134388372482e-156,{'A': 'Redução dos custos de transporte.'},gpt-3.5-turbo
22,CIÊNCIAS HUMANAS E SUAS TECNOLOGIAS,2013,"De todas as transformações impostas pelo meio técnico-científico-informacional à logística de transportes, interessa-nos mais de perto a intermodalidade. E por uma razão muito simples: o potencial que tal “ferramenta logística” ostenta permite que haja, de fato, um sistema de transportes condizente com a escala geográfica do Brasil.",Como a intermodalidade contribui para a escala geográfica do Brasil?,"{'A': 'Aumentando a dependência de um único modal de transporte.', 'B': 'Facilitando o transporte de cargas entre diferentes regiões do país.', 'C': 'Causando congestionamentos nas estradas.', 'D': 'Reduzindo a conectividade entre os estados brasileiros.', 'E': 'Aumentando os custos de logística no país.'}",{'B': 'Facilitando o transporte de cargas entre diferentes regiões do país.'},Analisar,Intermediário,5.0,5,5,5,5,"A questão de múltipla escolha é altamente relevante, pois está diretamente relacionada ao contexto apresentado sobre intermodalidade e sua contribuição para a escala geográfica do Brasil. O nível de Bloom 'Analisar' e o nível de dificuldade 'Intermediário' estão adequadamente atribuídos, considerando a complexidade da pergunta. A gramática da questão está correta e clara. A questão fornece informações suficientes para que o respondente possa chegar à resposta correta, que está devidamente indicada. A opção correta está em conformidade com o contexto apresentado, sendo a alternativa que realmente reflete a contribuição da intermodalidade para o transporte de cargas no Brasil.","Score(precision=0.7272727272727273, recall=0.14285714285714285, fmeasure=0.23880597014925373)",0.006867253771190904,{'B': 'Facilitando o transporte de cargas entre diferentes regiões do país.'},gpt-3.5-turbo
