id,year,context,question,options,correct_answer,area
12,2022,"In addition to economic results, the ethical dimension of business activity has become one of the main concerns of managers. Adopting a conduct based on moral principles of respect for the environment and community values is an unavoidable requirement of contemporary societies. The social and environmental impact of business activities can influence, even, the competitiveness of organizations. Source of the Text: ALMEIDA, F. J. R. Ethics and social performance of organizations: a theoretical model for analyzing cultural and contextual factors (adapted).","According to the text, managers should","{'A': 'promote socio-environmental and cultural actions to gain market share.', 'B': 'be intolerant towards abuses of power in competition between companies.', 'C': 'stop exploiting environmental resources in order to conform to contemporary demands.', 'D': 'consider economic, environmental, and social results as relevant in competition between companies.', 'E': 'prioritize the preservation of the environment and community values over economic performance.'}","{'D': 'consider economic, environmental, and social results as relevant in competition between companies.'}",Administration
13,2022,"The Contingency Theory proposes the assumption that organizations receive influences from the environment in which they are inserted. Thus, the environment can contribute to reshape specific characteristics of the company at a given moment.
In these terms, the same organization that has different headquarters may be conditioned to plan and execute its decision-making process in different ways for different locations. The unification of procedures, processes, and decisions, which would be, a priori, suitable to facilitate management, becomes pressured by factors such as negotiations with local groups, local culture, availability of resources, and local legislations. Corporate and/or functional area leadership becomes a much more complex and challenging process.
Source of the Text: MOURA, G. D.; CAMARGO, T. F.; ZANIN, A. Market Competitiveness and Results Management: a study from the perspective of Contingency Theory (adapted).
","Considering the presented text, evaluate the following assertions and the proposed relationship between them.
I. According to the Contingency Theory assumption, the plans and projects of the corporate strategic level and functional levels, such as Production and Operations, Marketing, or Human Resources, are defined taking into account the influence of external factors.
BECAUSE
II. The Contingency Theory, as a Management theory, has a direct relationship with Communication Theory, which demonstrates that it has an integrative character with other theories and impacts different managerial tasks at the functional level.
Regarding these assertions, choose the correct option.
","{'A': 'Statements I and II are true propositions, and II is a correct justification for I.', 'B': 'Statements I and II are true propositions, but II is not a correct justification for I.', 'C': 'Statement I is a true proposition, and II is a false proposition.', 'D': 'Statement I is a false proposition, and II is a true proposition.', 'E': 'Statements I and II are false propositions.'}
","{'C': 'Statement I is a true proposition, and II is a false proposition.'}
",Administration
14,2022,"Due to the crisis caused by the Covid-19 pandemic, a company needed to lay off 20% of its employees. In order to reduce the impacts of this process, the company will seek to professionally relocate these employees through the hiring of consultancy.","Considering the situation presented, what procedure should be adopted by the company?","{'A': 'Coaching', 'B': 'Socialization', 'C': 'Agency', 'D': 'Outplacement', 'E': 'Empowerment'}",{'D': 'Outplacement'},Administration
16,2022,"When using the market analysis model proposed by Porter, one seeks to identify the forces at play in a dynamic and competitive market, determining the intensity of competition in a given sector. Next, the figure representing the mentioned model is presented.
Figure description: Title: 'Porter's Five Competitive Forces'. Highlighted are the companies that are already competitors in the industrial field. Above these competing companies, there are two threats: potential new entrants and substitute products and services. Also acting on these competing companies are buyers and suppliers with their bargaining power. Thus, potential entrants, substitutes, suppliers, and buyers influence competing companies in the industry.","Considering the described model, evaluate the following statements, indicating which ones are correct.
The bargaining power of buyers is characterized by the reduced number of competing companies in the industry, coupled with higher demand for products by end consumers.
The threat of substitute products and services occurs when a company maintains the same technology and product portfolio for a long time, coupled with inadequate monitoring of technological evolution trends of other companies in the market.
The threat of new entrants occurs when there is already a company with a traditional brand and loyal customers, and for this reason, the company trying to enter this market will tend to be discouraged, as it will have to invest significant resources in an attempt to compete.
Which of the following statements is correct","{'A': 'I only.', 'B': 'II only', 'C': 'I and III only', 'D': 'II and III only', 'E': 'I, II, and III'}",{'B': 'II only'},Administration
17,2022,"With inflation, the purchasing power of the citizen is reduced if the salary does not keep up with the price increases. Subsequently, this reduction in consumption, due to the impoverishment of people, affects companies, which sell less because people are buying less. This process leads to a reduction in production and a decrease in GDP (Gross Domestic Product). In summary, inflation causes money to lose value, since it does not keep up with price increases, therefore reducing purchasing power and GDP. According to the Inflation Report of the Central Bank of Brazil, from July 2022, the expectations for the variation of the National Consumer Price Index (IPCA), as surveyed by Focus, are around 7.96% for 2022, and GDP growth was adjusted to 1.51%.","Considering the above, select the correct option.","{'A': 'As all agents have access to the same financial instruments, income distribution remains unchanged during and after an inflationary process.', 'B': 'The inflationary process does not result in a loss of the notion of relative prices, since market resource allocation mechanisms continue to function and be efficient.', 'C': 'Widespread price increases affect low-income families more, a segment generally less qualified and therefore more affected by inflation in times of high unemployment.', 'D': 'The reduction in consumption, in an inflationary process, does not lead to a decrease in government tax revenue, since tax collection and revenue are maintained by the government.', 'E': 'The Balance of Payments is not affected by an internal inflationary process, which is solely due to financial agents buying only foreign currency as a store of value.'}","{'C': 'Widespread price increases affect low-income families more, a segment generally less qualified and therefore more affected by inflation in times of high unemployment.'}",Administration
18,2022,"According to the Ethos Institute, in an inclusive economy, 'public and private investments, rules, institutions, technologies, and programs must also be focused on meeting the needs and rights of all human beings, without which it will not be possible to build healthy social environments in any productive activity.' Available at Ethos website. Accessed on: Aug 23, 2022 (adapted).","Considering this context, in an inclusive economy, one should","{'A': 'develop ethical values, without the concern of making it a green and responsible economy.', 'B': 'discourage any kind of competition, which always weakens community cooperation.', 'C': 'exclude the participation of the base of the pyramid in the productive process and in the market of goods and services.', 'D': 'respect the laws, even if business rules may disrespect human rights.', 'E': 'promote balanced development, considering financial, human, social, and natural capitals.'}","{'E': 'promote balanced development, considering financial, human, social, and natural capitals.'}",Administration
20,2022,"The XYZ company adopts a completely manual production planning and control, where there is no integration between areas. Through a consultancy, XYZ is analyzing the implementation of new production techniques and philosophies to increase competitive advantage.","Regarding the implementation of production techniques and philosophies in the mentioned case, evaluate the following statements, indicating which ones are correct. XYZ company can reduce problems, decrease costs, and eliminate losses using quality tools, such as Ishikawa Diagram, Brainstorming, and Control Charts. The Enterprise Resource Planning (ERP) system can help integrate the organization's sectors, as it provides subsidies for decision-making. The implementation of the Just in Time philosophy will enable production control and reduction of XYZ company's inventory levels. It is correct what is stated in","{'A': 'I only.', 'B': 'II only.', 'C': 'I and III only.', 'D': 'II and III only.', 'E': 'I, II, and III'}","{'E': 'I, II, and III'}",Administration
22,2022,"The business plan as a fundamental part of the entrepreneurial process is a tool that aims to structure the main concepts and alternatives for a correct analysis of the feasibility of the intended business. Carrying out the business plan involves several stages, with market analysis and competitiveness being important to review and adapt strategies to new challenges. The following figure presents the model of generic competitive strategies conceived by Porter. Description of the figure: In a chart, we have elements of Generic Competitive Strategies described. It is divided into two axes: Competitive Scope and Competitive Advantage, both subdivided into two variables. Competitive Scope is subdivided into: Broad Target and Narrow Target. Competitive Advantage is subdivided into: Lower Cost and Differentiation. From the relationships between the four variables we will have: • From the meeting of Lower Cost and Broad Target, we have 1. Cost Leadership; • From the meeting of Differentiation and Broad Target, we have 2. Differentiation; • From the meeting of Lower Cost and Narrow Target, we have 3A. Focus on Cost; • From the meeting of Differentiation and Narrow Target, we have 3B. Focus on Differentiation.","Based on the information presented in the text and in the figure, evaluate the following statements, indicating which ones are correct. In cost leadership, the entrepreneur must opt for a cost strategy more advantageous than that of his competitors, which means obtaining economies of scale through appropriate technologies and, above all, high productivity. In the differentiation strategy, the entrepreneur must seek to be the only one in some factor that the consumer market considers important, which means being unique, differentiated in marketing and other characteristics. In the cost focus strategy, the entrepreneur must identify a more advantageous cost solution and a product offer differentiated from its competitors, which means creating products with lower and mass-produced prices. It is correct what is stated in","{'A': 'I only.', 'B': 'III only', 'C': 'I and II only', 'D': 'II and III only', 'E': 'I, II and III'}",{'C': 'I and II only'},Administration
23,2022,"Practicing corporate social responsibility requires attention to multiple demands regarding partnership relationships between customers and suppliers, quality production, contributions to community development, investments in technological research, environmental preservation, reduction of predatory actions, worker participation in organizational results, professional qualification, respect for citizens, etc. By practicing ethical and socially responsible conduct, the organization gains the respect of the people and communities it reaches, engaging its employees and winning consumer preference. The socially responsible performance of the company depends directly on the management model implemented. When the model and strategic guidelines are guided by social responsibility, those involved will prioritize ethics and social actions, as the environment itself leads them in that direction. Source of the Text: AMORIM, T. N. G. F. Corporate social responsibility, 2009 (adapted).","Considering the approach taken in the text, it can be stated that a company fulfills its social role successfully when","{'A': 'consumer preference and employee engagement are not influenced by the management model implemented by the company.', 'B': 'respect for people and communities precedes the company's practice, considering that corporate social responsibility is a requirement imposed by the market and suppliers.', 'C': 'the management model is guided by both social responsibility and the internal atmosphere, thus contributing to the prevalence of ethical conduct, respect for people, and employee engagement.', 'D': 'environmental preservation is met by the company, as it is a factor that enhances its market participation, considering that this is one of the contemporary problems that demands more attention from organizations.', 'E': 'worker participation in organizational results reflects their engagement in the set of internal procedures, prioritizing ethics and social actions and thus strengthening the company's public image.'}","{'C': 'the management model is guided by both social responsibility and the internal atmosphere, thus contributing to the prevalence of ethical conduct, respect for people, and employee engagement.'}",Administration
25,2022,"A startup, whose mission is to help students from different areas to find their first job, has a business model whose revenues are predominantly obtained from paid ads by recruiters. Currently, the startup has a database with over 350,000 students, containing both curriculum information and personal data of the candidates. In order to expand its revenues, the founders are considering selling user data from their database to other retail companies, which are interested in obtaining profile information from this audience. After consulting Law No. 13,709/2018 (General Data Protection Law - LGPD), they found out that the commercialization of personal data is prohibited in the Brazilian legal system. However, Article 12 of said law provides the following: 'Article 12. Anonymized data shall not be considered personal data for the purposes of this Law, except when the anonymization process to which they have been submitted is reversed, using exclusively its own means, or when, with reasonable efforts, it can be reversed. Paragraph 1. The determination of what is reasonable must take into consideration objective factors, such as cost and time required to reverse the anonymization process, according to the available technologies, and the exclusive use of its own means. Paragraph 2. Data used to form the behavioral profile of a specific natural person, if identified, may also be considered as personal data, for the purposes of this Law.' Regarding Article 5 of the LGPD, it is considered: 'III - anonymized data: data related to a data subject that cannot be identified, considering the use of reasonable and available technical means at the time of its processing.'","Based on the information presented, the commercialization of data by the startup is","{'A': 'viable, as long as no user images are provided', 'B': 'viable, as long as the CPF and name of the users are excluded', 'C': 'viable, as long as the anonymization criteria of the data are respected', 'D': 'unviable, since it is not possible to guarantee the anonymization of the data', 'E': 'unviable, since current data storage techniques prevent the separation of personal information'}","{'C': 'viable, as long as the anonymization criteria of the data are respected'}",Administration
27,2022,"A household cleaning items supplier for supermarkets chose to change its strategic positioning from scale to differentiation, investing in more efficient raw materials that enhance product performance, through a variety of fragrances and packaging, aiming to target customers with higher purchasing power.","To communicate its strategic change, in order to reinforce its new differentiation position, the company should","{'A': 'prioritize large investments in mass media, such as television and newspapers', 'B': 'wait for the effects to be perceived by consumers and, thus, foster word of mouth among consumers, exploiting the surprise effect', 'C': 'invest in employee training and product improvement, while maintaining the communication strategy of the previous position, to justify the new investments', 'D': 'maintain a broad scope of communication (employees, customers with lower and higher purchasing power), in order to change strategic position as demand from different audiences arises', 'E': 'introduce the new products to the internal audience, through meetings with employees, and to the external audience, through segmented communication and reinforcement of the premium nature of its new products'}","{'A': 'prioritize large investments in mass media, such as television and newspapers'}",Administration
28,2022,"Figure 1. Representative symbols of a flowchart
Adaptation of the Table: Representative symbols of the Flowchart
1. Ellipse - Indicates the beginning or end of the process.
2. Rectangle - Indicates each activity that needs to be executed.
3. Diamond - Indicates a decision point.
4. Arrow - Indicates the flow direction.
5. Wavy base rectangle - Indicates the document used in the process.
6. Half ellipse - Indicates a wait or delay.
7. Cycle - Represents the connection between very long stages or different flows. It is used to replace arrows with the purpose of ensuring greater understanding of the flow.
8. Inverted trapezoid - Indicates manual operation.

Description of the Flowchart: the flowchart follows the following steps:
A - Start (written inside an ellipse) B - Receive the order (written inside a rectangle) C - Product available? (written inside a diamond)
• If the answer is NO, the process ends at item H - inform the customer of the product shortage and delivery time (written inside a rectangle)
• If the answer is YES, the process moves on to item D - Select the product (written inside a rectangle)
E - Receive payment for the product (written inside a rectangle) F - Issue the Fiscal Coupon (written inside a rectangle) G - Deliver the product (written inside a rectangle) J - End (written inside an ellipse)
I - Will the customer wait? (written inside a diamond) • If the answer is NO, move on to step J - End • If the answer is YES, move on to step B - Receive the order","Considering the flowchart (figure 2) and its representative symbols (figure 1), evaluate the following statements, indicating which ones are correct.
Step I (Will the customer wait?) represents a customer decision point, however, the symbol used (n. 3) is inadequate and should be replaced by symbol n. 6. 
For the flowchart to correspond to the reality of the procedures, the symbol used in step F (Issue the Fiscal Coupon) must be replaced by symbol n. 5, a change that will result in a flow that develops without abnormalities. 
Step H (Inform the customer of the product shortage and delivery time) corresponds to information provided by the company to the customer, and therefore, the symbol used (n. 2) will have the same effect if changed to symbol n. 3. 
Considering that the customer has decided to wait for the product delivery (step I), the terms of step B (Receive the order) can be maintained, it is inappropriate to change them to “Receive the product”, since the flowchart process should be restarted. 
Only what is stated in","{'A': 'III', 'B': 'IV’, 'C': 'I and II', 'D': 'I and IV', 'E': ‘II and III'}",{'B': 'IV’},Administration
